Antibody Name,Target Protein,Performance  ,Vendor,Catalog no. ,Clone,Fluorophore,Research Resource Identifier,FILTER SET,Note,Link
anti-pTyr,pTyr,***,CST,9411,p-Tyr-100,N/D,AB_331228 ,N/D,,https://www.cellsignal.com/products/primary-antibodies/phospho-tyrosine-mouse-mab-p-tyr-100/9411
anti-RPA32,RPA32,***,Bethyl,IHC-00417,Polyclonal,N/D,AB_1659838,N/D,,https://www.bethyl.com/product/IHC-00417/RPA32+IHC+Antibody
anti-TPCN2,TPCN2,***,NOVUSBIO,NBP1-86923,Polyclonal,N/D,AB_11021735,N/D,,https://www.novusbio.com/products/two-pore-calcium-channel-protein-2-antibody_nbp1-86923
anti-VEGFR1,VEGFR1/FLT1,***,Santa Cruz,SC-31173,Polyclonal,N/D,AB_2106885,N/D,,https://www.scbt.com/scbt/product/flt-1-antibody-n-16?requestFrom=search
Abeta-488,Beta-Amyloid (1-16),**,BioLegend,803013,6E10,Alexa Fluor 488,AB_2564765,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-beta-amyloid--1-16-antibody-10833
BRAF-FITC,B-RAF,**,Abcam,ab175637,K21-F,FITC,,488/FITC,,http://www.abcam.com/b-raf-mutated-v600-e-antibody-k21-f-fitc-ab175637.html
BrdU-488,BrdU,**,BioLegend,364105,3D4,Alexa Fluor 488,AB_2564499,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-brdu-antibody-10621
cCasp3-488,cCasp3,**,R&D Systems,IC835G-025,269518,Alexa Fluor 488,,488/FITC,,https://www.rndsystems.com/products/human-mouse-cleaved-caspase-3-alexa-fluor-488-conjugated-antibody-269518_ic835g
CD11b-488,CD11b,**,BioLegend,101219,M1/70,Alexa Fluor 488,AB_493545 ,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-mouse-human-cd11b-antibody-2700
CD123-488,CD123,**,BioLegend,306035,6H6,Alexa Fluor 488,AB_2629569,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-cd123-antibody-13465
CD49b-FITC,CD49b,**,BioLegend,359305,P1E6-C5,FITC,AB_2562530,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd49b-antibody-8880
CD69-FITC,CD69,**,BioLegend,310904,FN50,FITC,AB_314839,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd69-antibody-1671
CD71-FITC,CD71,**,BioLegend,334103,CY1G4,FITC,AB_1236432,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd71-antibody-4907
CD80-FITC,CD80,**,R&D Systems,FAB140F,37711,FITC,AB_357027,488/FITC,,https://www.rndsystems.com/products/human-b7-1-cd80-fluorescein-conjugated-antibody-37711_fab140f
CD8a-488,CD8a,**,eBioscience,53-0086-41,OKT8,Alexa Fluor 488,AB_10547060,488/FITC,,https://www.thermofisher.com/antibody/product/CD8a-Antibody-clone-OKT8-OKT-8-Monoclonal/53-0086-41
CDC2-FITC,CDC2/p34,**,Santa Cruz ,SC-54 FITC,17,FITC,AB_627224 ,488/FITC,,https://www.scbt.com/scbt/product/cdc2-p34-antibody-17
CycB1-FITC,CycB1,**,Santa Cruz ,SC-752 FITC,Polyclonal,FITC,AB_2072134 ,488/FITC,,https://www.scbt.com/scbt/product/cyclin-b1-antibody-h-433?requestFrom=search
FN-488,Fibronection,**,Abcam,AB198933,F1,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/fibronectin-antibody-f1-alexa-fluor-488-ab198933.html
IFNG-488,Interferron-Gamma,**,BioLegend,502517,4S.B3,Alexa Fluor 488,AB_493030,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-ifn-gamma-antibody-2748
IL1-FITC,IL1,**,BioLegend,511705,H1b-98,FITC,AB_1236434,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-il-1beta-antibody-4417
IL6-FITC,IL6,**,BioLegend,501103,MQ2-13A5,FITC,AB_315151,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-il-6-antibody-980
mCD31-FITC,ms_CD31,**,eBioscience,11-0311-82,390,FITC,AB_465012,488/FITC,,https://www.thermofisher.com/antibody/product/CD31-PECAM-1-Antibody-clone-390-Monoclonal/11-0311-82
mCD8a-488,ms_CD8a,**,BioLegend,100726,53-6.7,Alexa Fluor 488,AB_493423 ,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-mouse-cd8a-antibody-2698
Nestin-488,Nestin,**,eBioscience,53-9843-80,10C2,Alexa Fluor 488,AB_1834347,488/FITC,,https://www.thermofisher.com/antibody/product/Nestin-Antibody-clone-10C2-Monoclonal/53-9843-80
NeuN-488,NeuN,**,Millipore,MAB377X,A60,Alexa Fluor 488,AB_2149209 ,488/FITC,,"http://www.emdmillipore.com/US/en/product/Anti-NeuN-Antibody-clone-A60-Alexa-Fluor488-conjugated,MM_NF-MAB377X"
PR-488,PR/PGR,**,Abcam,AB199224,YR85,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/progesterone-receptor-antibody-yr85-alexa-fluor-488-ab199224.html
Snail1-488,Snail1,**,eBioscience,53-9859-80,20C8,Alexa Fluor 488,AB_2574482,488/FITC,,https://www.thermofisher.com/antibody/product/Snail1-Antibody-clone-20C8-Monoclonal/53-9859-80
TGFB-FITC,TGFB1,**,BioLegend,349605,TW4-2F8,FITC,AB_10679043,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-lap-tgf-beta1-antibody-7009
TNFa-488,TNFa,**,BioLegend,502917,MAb11,Alexa Fluor 488,AB_493122,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-tnf-alpha-antibody-2750
AR-555,AR,**,CST,8956,D6F11,Alexa Fluor 555,AB_11129223,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/androgen-receptor-d6f11-xp-rabbit-mab-alexa-fluor-555-conjugate/8956
CD11a-PE,CD11a,**,BioLegend,301207,HI111,PE,AB_314145,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd11a-antibody-697
CD11b-555,CD11b,**,Abcam,AB206616,EPR1344,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/cd11b-antibody-epr1344-alexa-fluor-555-ab206616.html
CD131-PE,CD131,**,BD,559920,JORO50,PE,AB_397374,555/Cy3,,http://www.bdbiosciences.com/us/applications/research/b-cell-research/surface-markers/mouse/pe-rat-anti-mouse-cd131-joro50-also-known-as-joro-50/p/559920
CD14-PE,CD14,**,eBioscience,12-0149,61D3,PE,AB_10597598,555/Cy3,,https://www.thermofisher.com/antibody/product/CD14-Antibody-clone-61D3-Monoclonal/12-0149-42
CD1a-PE,CD1a,**,BioLegend,300105,HI149,PE,AB_314019 ,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd1a-antibody-701
CD1c-PE,CD1c,**,BioLegend,331505,L161,PE,AB_1089000,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd1c-antibody-4847
CD20-PE,CD20,**,BioLegend,302305,2H7,PE,AB_314253,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd20-antibody-559
CD23-PE,CD23,**,eBioscience,12-0232-81,B3B4,PE,AB_465592,555/Cy3,,https://www.thermofisher.com/antibody/product/CD23-Antibody-clone-B3B4-Monoclonal/12-0232-82
CD31-PE,CD31,**,eBioscience,12-0319-41,WM-59,PE,AB_10670623,555/Cy3,,https://www.thermofisher.com/antibody/product/CD31-PECAM-1-Antibody-clone-WM-59-WM59-Monoclonal/12-0319-41
CD31-PE,CD31,**,R&D Systems,FAB3567P-025,9G11,PE,AB_2279388,555/Cy3,,https://www.rndsystems.com/products/human-cd31-pecam-1-pe-conjugated-antibody-9g11_fab3567p
CD34-PE,CD34,**,Abcam,AB30377,QBEND/10,PE,AB_726407 ,555/Cy3,,http://www.abcam.com/cd34-antibody-qbend-10-phycoerythrin-ab30377.html
CD45R-e570,CD45R/B220,**,eBioscience,41-0452-80,RA3-6B2,eFluor 570,AB_2573598 ,555/Cy3,,https://www.thermofisher.com/antibody/product/CD45R-B220-Antibody-clone-RA3-6B2-Monoclonal/41-0452-80
CD71-PE,CD71,**,eBioscience,12-0711-81,R17217,PE,AB_465739,555/Cy3,,https://www.thermofisher.com/antibody/product/CD71-Transferrin-Receptor-Antibody-clone-R17217-RI7-217-1-4-Monoclonal/12-0711-82
CD86-PE,CD86,**,BioLegend,305405,IT2.2,PE,AB_314525,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd86-antibody-778
CK19-570,Cytokeratin 19,**,eBioscience,41-9898-80,BA17,eFluor 570,AB_11218678,555/Cy3,,https://www.thermofisher.com/antibody/product/Cytokeratin-19-Antibody-clone-BA17-Monoclonal/41-9898-80
HER2-570,HER2,**,eBioscience,41-9757-80,MJD2,eFluor 570,AB_2573628,555/Cy3,,https://www.thermofisher.com/antibody/product/ErbB2-HER-2-Antibody-clone-MJD2-Monoclonal/41-9757-80
IL3-PE,IL3,**,BD,554383,MP2-8F8,PE,AB_395358 ,555/Cy3,,http://www.bdbiosciences.com/us/applications/research/intracellular-flow/intracellular-antibodies-and-isotype-controls/anti-mouse-antibodies/pe-rat-anti-mouse-il-3-mp2-8f8/p/554383
NFATc1-PE,NFATc1,**,BioLegend,649605,7A6,PE,AB_2562546,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-nfatc1-antibody-8899
PDL1-PE,PD-L1/CD274,**,BioLegend,329705,29E.2A3,PE,AB_940366,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd274-b7-h1--pd-l1-antibody-4375
pMAPK (T202/Y204),pERK1/2(T202/Y204),**,CST,14095,197G2,PE,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-p44-42-mapk-erk1-2-thr202-tyr204-197g2-rabbit-mab-pe-conjugate/14095
pMAPK (Y204/Y187),pERK1/2(Y204/Y187),**,CST,75165,D1H6G,PE,,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-p44-42-mapk-erk1-tyr204-erk2-tyr187-d1h6g-mouse-mab-pe-conjugate/75165
pSTAT1-PE,pSTAT1(Y705),**,BioLegend,686403,A15158B,PE,AB_2616938,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-stat1-phospho-ser727-antibody-13375
ABCC1-647,ABCC1,**,BioLegend,370203,QCRL-2,Alexa Fluor 647,AB_2566664,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-mouse-mrp1-abcc1-antibody-12758
AnnexinV-674,N/D,**,BioLegend,640911,NA,Alexa Fluor 647,AB_2561293 ,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-annexin-v-5276
CD103-647,CD103,**,BioLegend,350209,Ber-ACT8,Alexa Fluor 647,AB_10640870,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd103-integrin-alphae-antibody-6920
CD25-647,CD25,**,BioLegend,302617,BC96,Alexa Fluor 647,AB_493046,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd25-antibody-3254
CD31-APC,CD31,**,eBioscience,17-0319-41,WM-59,APC,AB_10853188 ,647/Cy5,,https://www.thermofisher.com/antibody/product/CD31-PECAM-1-Antibody-clone-WM-59-WM59-Monoclonal/17-0319-41
CD68-APC,CD68,**,BioLegend,333809,Y1/82A,APC,AB_10567107,647/Cy5,,https://www.biolegend.com/en-us/products/apc-anti-human-cd68-antibody-6542
CD8a-647,CD8a,**,BioLegend,344725,SK1,Alexa Fluor 647,AB_2563451,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd8-antibody-9764
CD8a-647,CD8a,**,R&D Systems,FAB1509R-025,37006,Alexa Fluor 647,,647/Cy5,,https://www.rndsystems.com/products/human-cd8alpha-alexa-fluor-647-conjugated-antibody-37006_fab1509r
CycE-660,CycE,**,eBioscience,50-9714-80,HE12,eFluor 660,AB_2574350,647/Cy5,,https://www.thermofisher.com/antibody/product/Cyclin-E-Antibody-clone-HE12-Monoclonal/50-9714-80
HIF1-647,HIF1,**,BioLegend,359705,546-16,Alexa Fluor 647,AB_2563331,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-hif1alpha-antibody-9570
HP1-647,HP1,**,Abcam,AB198391,EPR5777,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/hp1-alpha-antibody-epr5777-heterochromatin-marker-alexa-fluor-647-ab198391.html
mCD123-APC,ms_CD123,**,eBioscience,17-1231-81,5B11,APC,AB_891363,647/Cy5,,https://www.thermofisher.com/antibody/product/CD123-Antibody-clone-5B11-Monoclonal/17-1231-81
NGFR-647,NGFR/CD271,**,BD,560326,C40-1457,Alexa Fluor 647,AB_1645403,647/Cy5,,http://www.bdbiosciences.com/us/reagents/research/antibodies-buffers/immunology-reagents/anti-human-antibodies/cell-surface-antigens/alexa-fluor-647-mouse-anti-human-cd271-c40-1457/p/560326
pBTK-660,pBTK(Y551/Y511),**,eBioscience,50-9015-80,M4G3LN,eFluor 660,AB_2574306,647/Cy5,,https://www.thermofisher.com/antibody/product/Phospho-BTK-ITK-Tyr551-Tyr511-Antibody-clone-M4G3LN-Monoclonal/50-9015-80
PD1-647,PD1,**,Abcam,AB201825,EPR4877 (2),Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/pd1-antibody-epr48772-alexa-fluor-647-ab201825.html
PR-660,PR/PGR,**,eBioscience,50-9764-80,KMC912,eFluor 660,AB_2574363,647/Cy5,,https://www.thermofisher.com/antibody/product/Progesterone-Receptor-Antibody-clone-KMC912-Monoclonal/50-9764-80
RUNX3-660,RUNX3,**,eBioscience,50-9817-80,R3-5G4,eFluor 660,AB_2574383,647/Cy5,,https://www.thermofisher.com/antibody/product/RUNX3-Antibody-clone-R3-5G4-Monoclonal/50-9817-80
SOX2-647,SOX2,**,Abcam,AB192075,Polyclonal,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/sox2-antibody-alexa-fluor-647-ab192075.html
anti-53BP1,53BP1,**,Millipore,MAB3802 ,BP13,N/D,AB_2206767,N/D,,"http://www.emdmillipore.com/US/en/product/Anti-53BP1-Antibody-clone-BP13,MM_NF-MAB3802"
anti-Axl,Axl,**,R&D,AF154,Polyclonal,N/D,AB_354852,N/D,,https://www.rndsystems.com/products/human-axl-antibody_af154
anti-CD11b,CD11b,**,Abcam,AB52478,EP1345Y,N/D,AB_868788,N/D,,http://www.abcam.com/cd11b-antibody-ep1345y-ab52478.html
anti-CD8a,CD8,**,eBioscience,14-0085-80,C8/144B,N/D,AB_11151339 ,N/D,,https://www.thermofisher.com/antibody/product/CD8a-Antibody-clone-C8-144B-Monoclonal/14-0085-82
anti-CEP170,CEP170,**,Abcam,AB72505,Polyclonal,N/D,AB_1268101,N/D,,http://www.abcam.com/cep170-antibody-ab72505.html
anti-cMYC,cMYC,**,BioLegend,626801,9E10,N/D,AB_2235686,N/D,,https://www.biolegend.com/en-us/products/purified-anti-c-myc-antibody-2873
anti-CPS1,CPS1,**,Abcam,AB129076,EPR7493-3,N/D,AB_11156290,N/D,,http://www.abcam.com/cps1-antibody-epr7493-3-ab129076.html
anti-E2F1,E2F1,**,ThermoFisher,MS-879-P1,KH95,N/D,AB_143934 ,N/D,,https://www.thermofisher.com/order/catalog/product/MS-879-B
anti-eEF2K,eEF2K,**,Santa Cruz,SC-21642,K-19,N/D,AB_640043,N/D,,http://datasheets.scbt.com/sc-21642.pdf
anti-Emil1,Emil1,**,Abcam,AB212397,EMIL/1176,N/D,,N/D,,http://www.abcam.com/emi1-antibody-emi11176-bsa-and-azide-free-ab212397.html
anti-FKHRL1,FKHRL1,**,Santa Cruz,SC-9812,Polyclonal,N/D,AB_640608,N/D,Discontinued,
anti-FLAG,FLAG,**,Sigma,F1804,M2,N/D,AB_262044,N/D,,https://www.sigmaaldrich.com/catalog/product/sigma/f1804?lang=en&region=US
anti-GranB,Granzyme_B,**,Dako,M7235,M7235,N/D,AB_2114697,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/granzyme-b
anti-HMB45,HMB45,**,Abcam,AB732,HMB45+M2-7C10+M2-9E3,N/D,AB_305844,N/D,,http://www.abcam.com/melanoma-antibody-hmb45--m2-7c10--m2-9e3-ab732.html
anti-HSP90b,HSP90b,**,Santa Cruz,SC-1057,D-19,N/D,AB_2121392,N/D,,https://www.scbt.com/scbt/product/hsp-90beta-antibody-d-19
anti-IL2Ra,IL2Ra,**,Abcam,AB128955,EPR6452,N/D,AB_11141054,N/D,,http://www.abcam.com/il2-receptor-alpha-antibody-epr6452-ab128955.html
anti-LAMP2,LAMP2,**,R&D,AF6228,Polyclonal,N/D,AB_10971818,N/D,,https://www.rndsystems.com/products/human-lamp-2-cd107b-antibody_af6228
anti-MITF,MITF,**,Abcam,AB12039,C5,N/D,AB_298801 ,N/D,,http://www.abcam.com/mitf-antibody-c5-chip-grade-ab12039.html
anti-Ncad,N-Cadherin,**,Abcam,AB18203,Polyclonal,N/D,AB_444317,N/D,,http://www.abcam.com/n-cadherin-antibody-ab18203.html
anti-NCAM,NCAM,**,Abcam,AB6123,ERIC-1,N/D,AB_2149537,N/D,,http://www.abcam.com/ncam1-antibody-eric-1-ab6123.html
anti-NF1,NF1,**,Abcam,AB178323,McNFn27b,N/D,,N/D,,http://www.abcam.com/neurofibromin-antibody-mcnfn27b-n-terminal-ab178323.html
anti-pCTD,Pol II CTD(S2),**,Active Motif,61083,3E10,N/D,AB_2687450,N/D,,http://www.activemotif.com/catalog/details/61083/rna-pol-ii-ctd-phospho-ser2-antibody-mab
anti-PD1,PD1,**,CST,43248,EH33,N/D,,N/D,,https://www.cellsignal.com/products/primary-antibodies/pd-1-eh33-mouse-mab-ihc-specific/43248
anti-pTuberin,pTuberin(S664),**,Abcam,AB133465,EPR8202,N/D,AB_11157389,N/D,,http://www.abcam.com/tuberin-phospho-s664-antibody-epr8202-ab133465.html
anti-S100,S100,**,Dako,Z0311,Polyclonal,N/D,AB_10013383,N/D,,https://www.agilent.com/en-us/products/immunohistochemistry/antibodies-controls/primary-antibodies/s100-(autostainer-autostainer-plus)
anti-SIRT3,SIRT3,**,CST,2627,C73E3,N/D,AB_2188622,N/D,,https://www.cellsignal.com/products/primary-antibodies/sirt3-c73e3-rabbit-mab/2627
anti-TIA1,TIA1,**,Santa Cruz,SC-1751,Polyclonal,N/D,AB_2201433 ,N/D,,https://www.scbt.com/scbt/product/tia-1-antibody-c-20
anti-TLR3,TLR3,**,Santa Cruz,SC-8691,Polyclonal,N/D,AB_2240700 ,N/D,,https://www.scbt.com/scbt/product/tlr3-antibody-n-14
anti-TNFa,TNFa,**,Abcam,AB11564,MP6-XT3,N/D,AB_298170,N/D,,http://www.abcam.com/tnf-alpha-antibody-mp6-xt3-ab11564.html
anti-TPCN2,TPCN2,**,Abcam,AB119915,Polyclonal,N/D,AB_10903692,N/D,,http://www.abcam.com/two-pore-calcium-channel-protein-2-antibody-ab119915.html
CD11a-FITC,CD11a,*,eBioscience,11-0119-41,HI111,FITC,AB_10597888,488/FITC,,https://www.thermofisher.com/antibody/product/CD11a-LFA-1alpha-Antibody-clone-HI111-Monoclonal/11-0119-41
CD20-FITC,CD20,*,BioLegend,302303,2H7,FITC,AB_314251,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd20-antibody-558
CD2-FITC,CD2,*,BioLegend,300206,RPA-2.10,FITC,AB_314030,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd2-antibody-818
CD45RO-488,CD45RO,*,BioLegend,304212,UCHL1,Alexa Fluor 488,AB_528823,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-cd45ro-antibody-3340
CD8a-488,CD8,*,BioLegend,301024,RPA-T8,Alexa Fluor 488,AB_2561282,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-cd8a-antibody-2730
cJUN-FITC,cJUN,*,Santa Cruz ,SC-1694 FITC,Polyclonal,FITC,AB_631263,488/FITC,Discontinued,https://www.scbt.com/scbt/product/c-jun-antibody-h-79
CXCR5-FITC,CXCR5,*,BioLegend,356913,J252D4,FITC,AB_2561895,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd185-cxcr5-antibody-8422
Ecad-FITC,Ecad,*,BioLegend,324103,67A4,FITC,AB_756065,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd324-e-cadherin-antibody-3750
FOXP3-488,FOXP3,*,BioLegend,320011,150D,Alexa Fluor 488,AB_439747,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-mouse-rat-human-foxp3-antibody-2891
MITF-488,MITF,*,Novus Biologicals,NB100-56561AF488,21D1418,Alexa Fluor 488,AB_838580,488/FITC,,https://www.novusbio.com/products/mitf-antibody-21d1418_nb100-56561af488
NCAM-488,NCAM/CD56,*,Abcam,AB200333,EPR2566,Alexa Fluor 488,,488/FITC,,http://www.abcam.com/ncam1-antibody-epr2566-alexa-fluor-488-ab200333.html
NCAM-FITC,NCAM/CD56,*,ThermoFisher,11-0566-41,TULY56,FITC,AB_2572458,488/FITC,,https://www.thermofisher.com/antibody/product/CD56-NCAM-Antibody-clone-TULY56-Monoclonal/11-0566-41
NGFR-FITC,NGFR/CD271,*,BioLegend,345103,ME20.4,FITC,AB_1937226,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-cd271-ngfr-antibody-6209
PD1-488,PD-1,*,BioLegend,367407,NAT105,Alexa Fluor 488,AB_2566677,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-cd279-pd-1-antibody-12735
PD1-488,PD-1,*,BioLegend,329935,EH12.2H7,Alexa Fluor 488,AB_2563593,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-human-cd279-pd-1-antibody-9863
pERK-488,pERK(T202/Y204),*,CST,4374,E10,Alexa Fluor 488,AB_10705598,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/phospho-p44-42-mapk-erk1-2-thr202-tyr204-e10-mouse-mab-alexa-fluor-488-conjugate/4374
pERK-488,pERK(T202/Y204),*,CST,4780,137F5,Alexa Fluor 488,AB_10705598,488/FITC,,https://www.cellsignal.com/products/antibody-conjugates/p44-42-mapk-erk1-2-137f5-rabbit-mab-alexa-fluor-488-conjugate/4780
S100A4-FITC,S100A4,*,BioLegend,370007,NJ-4F3-D1,FITC,AB_2572073,488/FITC,,https://www.biolegend.com/en-us/products/fitc-anti-human-s100a4-antibody-13068
SOX2-488,SOX2,*,BioLegend,656109,14A6A34,Alexa Fluor 488,AB_2563956,488/FITC,,https://www.biolegend.com/en-us/products/alexa-fluor-488-anti-sox2-antibody-10178
CD133-PE,CD133,*,eBioscience,12-1338-41,TMP4,PE,AB_1582258 ,555/Cy3,,https://www.thermofisher.com/antibody/product/CD133-Prominin-1-Antibody-clone-TMP4-Monoclonal/12-1338-41
cMyc-TRITC,cMYC,*,Santa Cruz,SC-40 TRITC,9E10,TRITC,AB_627268,555/Cy3,,https://www.scbt.com/scbt/product/c-myc-antibody-9e10
cPARP-555,cPARP,*,CST,6894,D64E10,Alexa Fluor 555,AB_10830735,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/cleaved-parp-asp214-d64e10-xp-rabbit-mab-alexa-fluor-555-conjugate/6894
CTLA4-PE,CTLA4,*,BioLegend,369603,BNI3,PE,AB_2566796,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd152-ctla-4-antibody-12897
GATA3-594,GATA3,*,BioLegend,653816,16E10A23,Alexa Fluor 594,AB_2563353,555/Cy3,,https://www.biolegend.com/en-us/products/alexa-fluor-594-anti-gata3-antibody-9727
GFAP-Cy3,GFAP,*,Millipore,MAB3402C3,NA,Cy3,AB_11213580,555/Cy3,,"http://www.emdmillipore.com/US/en/product/Anti-GFAP-Antibody-Cy3-Conjugate,MM_NF-MAB3402C3"
Oct4-555,OCT_4,*,CST,4439,C30A3,Alexa Fluor 555,AB_10922586,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/oct-4a-c30a3-rabbit-mab-alexa-fluor-555-conjugate/4439
p21-555,p21,*,CST,8493,12D1,Alexa Fluor 555,AB_10860074,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/p21-waf1-cip1-12d1-rabbit-mab-alexa-fluor-555-conjugate/8493
PD1-PE,PD1,*,BioLegend,329905,EH12.2H7,PE,AB_940481 ,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd279-pd-1-antibody-4412
PDGFRb-555,PDGFRb,*,Abcam,AB206874,Y92,Alexa Fluor 555,,555/Cy3,,http://www.abcam.com/pdgf-receptor-beta-antibody-y92-alexa-fluor-555-ab206874.html
pSTAT1-555,pSTAT1,*,CST,8183,58D6,Alexa Fluor 555,AB_10860600,555/Cy3,,https://www.cellsignal.com/products/antibody-conjugates/phospho-stat1-tyr701-58d6-rabbit-mab-alexa-fluor-555-conjugate/8183
TIM1-PE,TIM1,*,BioLegend,353903,1D12,PE,AB_11125165,555/Cy3,,https://www.biolegend.com/en-us/products/pe-anti-human-cd365-tim-1-antibody-7603
cCasp3-647,cCasp3,*,CST,9602,D3E9,Alexa Fluor 647,AB_2687881,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/cleaved-caspase-3-asp175-d3e9-rabbit-mab-alexa-fluor-647-conjugate/9602
CD103-APC,CD103,*,eBioscience,17-1038-41,B-Ly7,APC,AB_10669816,647/Cy5,,https://www.thermofisher.com/antibody/product/CD103-Integrin-alpha-E-Antibody-clone-B-Ly7-Monoclonal/17-1038-41
CD3-647,CD3,*,BioLegend,300422,UCHT1,Alexa Fluor 647,AB_493092,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd3-antibody-2725
CD3-660,CD3,*,eBioscience,50-0037-41,OKT3,eFluor 660,AB_2574150,647/Cy5,,https://www.thermofisher.com/antibody/product/CD3-Antibody-clone-OKT3-Monoclonal/50-0037-41
CD3-APC,CD3,*,eBioscience,17-0038-41,UCHT1,APC,AB_10804761,647/Cy5,,https://www.thermofisher.com/antibody/product/CD3-Antibody-clone-UCHT1-Monoclonal/17-0038-41
CD45RO-APC,CD45RO,*,BioLegend,304210,UCHL1,APC,AB_314426,647/Cy5,,https://www.biolegend.com/en-us/products/apc-anti-human-cd45ro-antibody-856
ER-647,ER,*,Abcam,AB205851,EPR4097,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/estrogen-receptor-alpha-antibody-epr4097-alexa-fluor-647-ab205851.html
FOXO3a-647,FOXO3a,*,Abcam,AB196539,EP1949Y,Alexa Fluor 647,,647/Cy5,,http://www.abcam.com/foxo3a-antibody-ep1949y-alexa-fluor-647-ab196539.html
GZMA-e660,granzyme A,*,ThermoFisher,50-9177-41,CB9,eFluor 660,AB_2574330,647/Cy5,,https://www.thermofisher.com/antibody/product/Granzyme-A-Antibody-clone-CB9-Monoclonal/50-9177-41
GZMB-647,Granzyme_B,*,BioLegend,515405,GB11,Alexa Fluor 647,AB_2294995,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-mouse-granzyme-b-antibody-6067
GZMB-APC,Granzyme_B,*,R&D Systems,IC29051A,356412,APC,AB_894691,647/Cy5,Discontinued,https://www.rndsystems.com/products/human-granzyme-a-apc-conjugated-antibody-356412_ic29051a
HER2-647,HER2,*,BioLegend,324412,24D2,Alexa Fluor 647,AB_2262300,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd340-erbb2-her-2-antibody-3769
