"","Cell_ID","clust_ID","X_position","Y_position","UMAP_D1","UMAP_D2","KERATIN","ASMA","CD45"
"30",19737,3,7860.26428571429,5574.37857142857,4.69296497978143,1.87173035357521,6.24666032209686,8.47127489947123,8.20467573427787
"31",8762,3,4918.15584415584,1599.54545454545,4.0162673731419,-1.92769484619899,5.84137128139782,8.19109843713028,6.96437699278783
"32",29697,4,9710.98081023454,457.946695095949,-2.26573929195829,-2.45860782251672,6.35515215815111,8.89519433072635,5.51430531351484
"33",48243,3,12728.3240223464,3036.99441340782,0.893568964915306,1.56357125238189,7.54479902631306,8.02591091424806,6.94434037756076
"34",78436,1,6841.55882352941,7829.16176470588,-4.1772286138472,1.61346410957446,9.42908225012497,6.91587808186639,6.7203797961208
"35",37987,3,11146.1141552511,3801.19178082192,3.42108503801604,2.2641051607538,6.46127552081053,6.95381939992828,8.06384066222839
"36",16482,3,7192.31794871795,2486.59487179487,2.33612016238912,2.52959115790357,5.98083129080661,7.81441413185605,7.19815672749999
"37",66075,1,2798.00854700855,10251.1794871795,-2.3920758095367,2.49270041134279,9.8056117767108,6.89744590932328,7.39616224123173
"38",98211,4,11568.89,6178.835,-2.55359655961713,-0.584907711915135,8.33667201296814,8.06749715998682,5.61046031742483
"39",42604,3,11907.5434782609,4087.15217391304,2.58808506471156,0.225310314446654,6.46999153174834,7.79987804322438,7.02211216222051
"40",10754,3,5497.24468085106,2078.98404255319,4.47787033310114,1.67244518996769,5.51016329684242,7.31452804237463,7.06024348343777
"41",88993,4,9383.58620689655,7152.46551724138,0.707354814070578,0.430007875888993,6.86710209205216,8.62580572387558,6.07880417481515
"42",12937,2,6163.875,4915.36948529412,0.832881229654998,-2.03581888929163,6.20653515857893,7.62330946355275,5.90976490681768
"43",84261,1,8378.31704410012,10583.5458879619,-3.03417582308784,4.60167685983899,10.9061870066577,4.96921717437206,6.26983868512678
"44",13831,4,6475.50159744409,748.127795527157,-0.893407223623821,-4.59444789671459,5.2185754655978,8.72493750276407,5.16255619634286
"45",94218,4,10555.125,10375.21875,-2.89083588218235,-0.785950455120207,7.64344172870183,8.60246594850683,5.63718628240916
"46",58831,3,14399.9295774648,5089.60563380282,4.38337619039188,2.38871562584591,6.66136832854476,9.22368613110779,8.01823118808659
"47",65705,3,2651.4,7349.15,1.61702986139634,-0.422121629871306,5.37712854697233,8.6416031095912,7.25088388417451
"48",95154,4,10782.9230769231,10859.4294871795,-2.77355442896142,-1.32874439710735,7.22566807127885,9.16680235265397,5.33076594008512
"49",95637,2,10931.8352941176,9019.26176470588,4.09376096783859,-0.0831318164840059,8.30945318808994,4.34815043764634,6.44447721761031
"50",6478,4,4200.05263157895,4610.15789473684,-2.15237113891495,-2.27701100171541,6.97115005418636,9.33490503866537,6.17859906440695
"51",51456,2,13285.9245283019,3663.96855345912,2.97272051679529,-0.937964061719414,6.64625165035067,6.91177862101703,7.0935613239276
"52",37504,3,11070.1013513513,5654.22297297297,-0.189738299805262,2.31230320219169,8.15329239683598,4.8253634435165,7.42355634253205
"53",90894,2,9769.95689655172,9292.29310344828,4.1214038545068,-0.156413752449625,8.00519446604244,5.06450285841281,6.8411917203337
"54",58008,4,14278.9754901961,256.725490196078,-0.00129847972595332,-2.74637724125879,6.38174136547071,8.92211174496191,6.60494629767243
"55",47916,3,12672.606557377,1101.53005464481,2.96664623327983,3.95389605993432,7.64043838152382,8.03557615737289,7.81628262023846
"56",6186,2,4088.30039525692,2114.65612648221,-3.19131987658878,-3.60298028151345,5.84727235108987,6.37544894087725,5.36251615607031
"57",27128,1,9303.58932238193,5306.79158110883,-3.68803101148117,2.69871753211195,9.86441261931085,6.35568869603166,6.19401349435083
"58",43625,3,12052.3374613003,2777.33436532508,1.7941710837404,1.381005494258,6.63201401437701,7.16482093903627,7.50725838327617
"59",12183,4,5919.39825581395,2763.78488372093,-2.52350937685105,-2.86669267047167,5.71249441525822,9.78650485059702,5.32478095682651
"60",46200,1,12422.2552083333,1618.26822916667,-3.38941141737981,2.371860430095,10.0379885107872,6.07851390080704,7.32901171188531
"61",26187,3,9137.19444444444,3926.02777777778,5.35294006476367,1.90065841318893,6.09933579712168,7.57734789511682,8.09055646381399
"62",93761,1,10444.9052631579,7825.23157894737,-2.9823780675836,4.48852104973228,10.3851952826356,4.00685460183018,6.29014512418021
"63",24856,3,8896.06607929515,4105.00440528634,3.65322194902385,4.03366164461145,6.34399655971241,8.15048316791055,7.45589196582486
"64",82419,4,7906.24137931034,10072.4482758621,0.55531187361776,-3.88970077015292,8.07747926563504,10.4171955699356,5.05404703577293
"65",79103,1,7027.57714285714,10381.2057142857,-3.70663718505453,3.10934487333099,9.30651381542484,6.89170138781483,5.06298374589509
"66",10427,3,5412.92537313433,4268.98507462687,-0.307412677679336,-2.03713271473799,5.9512642498412,9.10164927462422,7.32865292926883
"67",52513,3,13466.2837837838,3241.17567567568,4.66923289575152,1.93617025206826,6.68472996392099,5.64343934474873,8.21778497805931
"68",13925,3,6500.12,5443.88,4.62104361450784,1.67609773678684,6.2505928121417,8.27220272467202,7.5107479663156
"69",28927,4,9585.28205128205,5464.08205128205,4.55914287068217,1.63923257159487,6.6266566164584,9.40153102877766,6.69286602853883
"70",110281,2,14402.6890243902,6802.89024390244,3.98320287443025,-0.458822346331384,6.78983198958822,7.15415316932875,6.93293557751244
"71",20201,3,7963.47107438017,4178.77685950413,0.718589619852098,1.43995394667293,6.95143203775778,5.97731533061511,7.89340553688034
