Cell_ID,clust_ID,X_position,Y_position,CMD_X,CMD_Y
2419,8,29837,24728,-0.163528262358069,0.163880359724315
2420,1,29836,25394,-0.16197267317499,0.187555441309891
2421,3,29842,25442,0.174528147615309,0.138870366059645
2422,4,29842,24490,0.146659825709413,-0.0499985656972181
2423,7,29837,25084,-0.208950035028962,-0.0624798006569028
2424,6,29843,25151,-0.107800279113754,-0.117571039851667
2425,4,29835,24115,0.0349703244892244,0.00452181574031704
2426,6,29841,25887,-0.177957567323295,-0.168565760898382
2427,4,29844,24253,0.176201792371916,-0.0502683193586425
2428,2,29849,24927,0.0525008970322998,0.191154116567493
2429,1,29847,25575,-0.103485171604336,0.131226127296244
2430,6,29846,25734,-0.0880827379967936,-0.138825273562081
2431,1,29844,24228,-0.160944950858459,0.189514402426016
2432,4,29850,24594,0.149365171598002,-0.0713960685472206
2433,3,29849,24900,0.219757734264924,0.0574444504346808
2434,4,29853,25790,0.139868351155639,-0.127434913269863
2435,3,29847,24277,0.206268752301148,0.12056716361368
2436,3,29855,24473,0.162856546091332,0.0285118120691612
2437,7,29856,25176,-0.221963466399096,-0.0485942714849642
2438,6,29852,24872,-0.094419561986474,-0.220944741651112
2439,4,29846,24114,0.192307186001358,-0.0257471953549093
2440,5,29860,25365,0.0638488358721851,-0.135370043699265
2441,1,29856,25410,-0.147028518391388,0.183226807406925
2442,4,29861,24031,0.192670743532921,-0.0884573752911433
2443,5,29861,25904,0.124730041339872,-0.150451194113006
2444,7,29859,25206,-0.185236294103988,-0.0656433712910736
2445,4,29858,24577,0.160810332831866,-0.0685735713743289
2446,5,29865,24111,0.0343857138549147,-0.198103193809118
2447,8,29867,24217,-0.221423521775727,0.022099717792222
2448,1,29863,25717,-0.0765466937628043,0.113343961610094
2449,7,29868,25295,-0.214758573793221,-0.0621277769853854
2450,1,29867,24823,-0.134851904657626,0.14390098797237
2451,8,29868,25687,-0.123310480703164,0.0618223449081513
2452,4,29871,24725,0.0988023736664211,-0.0900302482555968
2453,2,29871,24903,0.0849018992638935,0.18906643277626
2454,4,29876,24553,0.176096567953142,-0.0887740655021771
2455,2,29876,25143,0.00685785971514706,0.162094358478401
2456,1,29874,25725,-0.15575150225362,0.185179633859389
2457,8,29876,24888,-0.228060279635164,0.0338260435370525
2458,8,29879,25380,-0.225176922792053,0.104878660747009
2459,6,29874,24769,-0.0737270612445404,-0.0562787771013279
2460,7,29875,24321,-0.15173977553684,0.00458353536415362
2461,7,29876,25225,-0.187730296931377,-0.0928605600648586
2462,7,29880,24862,-0.188370837617603,-0.146025101529558
2463,1,29880,24918,-0.0440352681738164,0.179909760955034
2464,8,29881,25925,-0.214879323077443,0.11647674069235
2465,1,29886,25700,-0.0804312595616117,0.207670067636795
2466,4,29883,25959,0.18010637628946,-0.0527322375124337
2467,8,29883,25883,-0.21798433929798,0.0549543700554757
