Cell_ID,clust_ID,X_position,Y_position,CD45,e-Cadherin
699567,1,7389,18827,312,-346
698396,3,3747,18885,-553,-745
813296,2,9854,22116,-1201,436
814647,2,10225,23213,-686,396
697497,3,2643,17974,-967,-560
818399,2,11404,23366,-2073,475
709719,2,11390,18192,-878,580
711088,3,11781,16374,-372,-842
813799,2,9993,20156,-757,696
812687,3,9660,20084,-62,-602
814258,2,10126,21895,-840,333
701876,3,9171,18809,-281,-659
814879,2,10297,22663,-317,547
713190,3,12333,16884,-589,336
815445,2,10458,20421,-745,594
698285,3,3635,18712,-510,-429
709814,3,11422,18304,-1420,404
697894,1,3319,17852,107,-602
697869,1,3302,18391,211,-791
711772,2,11982,16377,-729,529
711994,3,12036,16156,-55,-634
708350,2,11043,16010,-989,611
711461,2,11889,17979,-1067,763
707264,2,10812,16744,-768,709
701964,2,9200,18550,-1314,738
698730,1,4380,16785,236,-553
700332,2,8304,19228,-1756,354
709595,2,11368,17951,-1667,597
712565,2,12184,17937,-631,353
816575,2,10783,23591,-1230,569
811547,3,9279,21890,-809,-486
698224,1,3571,18143,215,-871
811474,2,9262,21170,-389,610
814059,3,10067,22096,-1092,-1265
813366,2,9877,21219,-310,507
706432,4,10653,17042,-982,-1307
816104,2,10645,21908,-989,689
711408,3,11865,18619,-840,-464
818952,2,11630,23228,-1835,607
811508,2,9270,20934,-865,453
810899,3,9053,22752,-1499,-17
710232,2,11538,16330,-1485,599
699277,3,6918,18536,-411,-668
710095,2,11502,16385,-1220,434
711831,2,11997,17140,-1303,686
698084,3,3466,17133,-481,-816
704670,3,10272,18765,-946,-971
710435,2,11600,16114,-1004,787
813127,2,9801,20499,-718,566
815039,2,10342,22383,-617,744
815007,2,10337,23178,-575,354
820451,2,12292,21095,-171,455
815909,2,10587,20260,-676,596
700124,4,8230,18177,-702,-383
702094,3,9248,18777,-166,-735
706868,1,10729,19595,455,-829
698205,1,3555,16708,403,-724
710147,3,11512,17756,-1856,-871
813010,2,9762,22724,4,262
817481,2,11110,22289,-340,820
709886,2,11443,17945,-1101,349
819747,2,11978,21992,-713,776
818531,2,11459,23109,-840,621
707240,3,10807,19675,-226,-481
700613,2,8436,19081,-918,218
820336,2,12224,23101,-1210,610
707266,1,10808,19397,342,-650
813859,3,10011,23325,-442,-108
707077,2,10777,17247,-531,396
811088,2,9124,21275,-1035,320
711040,2,11760,18553,-1067,732
814190,2,10102,20943,-1240,471
819507,2,11876,20453,-469,617
708729,2,11139,16641,-1527,404
700103,3,8226,19741,-1084,-1010
815084,2,10353,22340,-1602,591
809079,3,6030,22268,-469,-560
